trial,worker,game,opponent,C_PARAM,DEPTH_LIMIT,PB_WEIGHT,RAVE_K,PHASE_LATE_TURN,PHASE_LATE_LENGTH,FOOD_WEIGHT_EARLY,SPACE_WEIGHT_LATE,CENTER_WEIGHT_LATE,CORNER_WEIGHT_LATE,KILL_WEIGHT_LATE,result,survival,final_length,optuna_score
8,7,10,Heuristic,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.31,9,0.1215
8,7,11,Heuristic,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,win,0.32,11,0.848
8,7,12,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,win,0.2067,7,0.781
8,7,13,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.0867,5,0.038
8,7,14,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,win,0.35,6,0.79
8,7,15,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.1,4,0.0275
8,7,16,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.1467,4,0.0345
8,7,17,Heuristic,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.27,6,0.078
8,7,18,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.19,5,0.0535
8,7,19,Vanilla,0.8305,22,17.8194,639.9,40,13,5.2145,1.44,0.3909,3.889,0.0811,loss,0.27,5,0.0655
11,4,0,Vanilla,1.7758,18,7.0052,1103.9,67,7,2.9354,0.5507,1.3805,4.8784,6.9319,win,0.2067,7,0.781
11,4,1,Heuristic,1.7758,18,7.0052,1103.9,67,7,2.9354,0.5507,1.3805,4.8784,6.9319,loss,0.1233,4,0.031
